TIPO_REG,U_DPTO,U_MPIO,UA_CLASE,COD_ENCUESTAS,U_VIVIENDA,F_NROHOG,FA1_NRO_FALL,FA2_SEXO_FALL,FA3_EDAD_FALL,FA4_CERT_DEFUN
3,13,001,1,1349184,2,1,1,1,79,1
3,13,001,1,1349235,2,1,1,2,38,1
3,13,001,1,1349375,2,1,1,1,67,1
3,13,001,1,1349402,1,1,1,1,83,1
3,13,001,1,1349522,1,1,1,1,78,1
3,13,001,1,1353595,1,1,1,1,69,1
3,13,001,1,1414300,6,1,1,2,76,1
3,13,001,1,1414937,1,1,1,2,87,1
3,13,001,1,1414952,2,1,1,1,88,1
3,13,001,1,1414952,2,1,2,1,88,1
3,13,001,1,1447997,13,1,1,1,0,1
3,13,001,1,1533814,1,1,1,1,79,1
3,13,001,1,1533876,1,1,1,2,57,1
3,13,001,1,1533908,1,3,1,2,35,1
3,13,001,1,1534050,1,1,1,1,47,1
3,13,001,1,1553051,1,1,1,1,55,1
3,13,001,1,1585029,1,1,1,1,69,2
3,13,001,1,1585066,1,1,1,2,70,1
3,13,001,1,1591533,1,1,1,2,27,1
3,13,001,1,1591577,1,1,1,1,12,1
3,13,001,1,1591637,4,1,1,2,66,1
3,13,001,1,1592182,25,1,1,2,50,1
3,13,001,1,1705867,1,1,1,1,56,1
3,13,001,1,1706337,1,1,1,1,59,1
3,13,001,1,1706643,1,1,1,1,24,1
3,13,001,1,1706797,1,1,1,2,83,1
3,13,001,1,1706849,1,1,1,1,64,1
3,13,001,1,1706917,1,1,1,1,1,1
3,13,001,1,1707926,1,1,1,2,61,1
3,13,001,1,1712849,53,1,1,1,56,1
3,13,001,1,1712866,57,1,1,1,89,1
3,13,001,1,1770639,1,1,1,1,45,1
3,13,001,1,1771925,1,2,1,1,22,1
3,13,001,1,1863417,1,1,1,2,1,9
3,13,001,1,1863417,1,1,2,1,1,9
3,13,001,1,1863497,1,1,1,2,0,9
3,13,001,1,1863497,1,1,2,2,12,9
3,13,001,1,1863497,1,1,3,2,1,9
3,13,001,1,1863498,4,1,1,1,13,1
3,13,001,1,1863532,1,1,1,2,35,1
3,13,001,1,1863564,1,1,1,1,41,9
3,13,001,1,1863564,1,1,2,1,22,9
3,13,001,1,1863615,1,1,1,1,76,1
3,13,001,1,1863786,1,1,1,2,2,2
